,words,Frequency,Rank,R x Freq,Probability
0,madrid,9036,1,9036,0.837908
1,teatro,1485,2,2970,0.137704
2,arte,1198,3,3594,0.111091
3,eventos,884,4,3536,0.081973
4,ciudad,858,5,4290,0.079562
5,octubre,802,6,4812,0.074369
6,otoño,784,7,5488,0.0727
7,español,781,8,6248,0.072422
8,información,776,9,6984,0.071958
9,centros,730,10,7300,0.067693
10,danza,686,11,7546,0.063613
11,publicidad,686,12,8232,0.063613
12,turística,657,13,8541,0.060924
13,musical,640,14,8960,0.059347
14,museo,565,15,8475,0.052392
15,agenda,553,16,8848,0.05128
16,deporte,552,17,9384,0.051187
17,flamenco,544,18,9792,0.050445
18,exposiciones,539,19,10241,0.049981
19,dónde,535,20,10700,0.049611
20,música,534,21,11214,0.049518
21,turismo,521,22,11462,0.048312
22,ocio,507,23,11661,0.047014
23,paseo,502,24,12048,0.04655
24,visitas,500,25,12500,0.046365
25,cultura,495,26,12870,0.045901
26,domingos,485,27,13095,0.044974
27,retiro,475,28,13300,0.044047
28,niños,471,29,13659,0.043676
29,real,461,30,13830,0.042749
30,musicales,449,31,13919,0.041636
31,año,446,32,14272,0.041358
32,gran,440,33,14520,0.040801
33,luz,439,34,14926,0.040708
34,casa,436,35,15260,0.04043
35,barrio,432,36,15552,0.040059
36,guiadas,424,37,15688,0.039318
37,compras,419,38,15922,0.038854
38,festival,414,39,16146,0.03839
39,parques,409,40,16360,0.037927
40,coronavirus,408,41,16728,0.037834
41,oct,406,42,17052,0.037648
42,conciertos,401,43,17243,0.037185
43,descubre,400,44,17600,0.037092
44,oficial,399,45,17955,0.036999
45,oficiales,393,46,18078,0.036443
46,guías,384,47,18048,0.035608
47,sala,381,48,18288,0.03533
48,paisaje,377,49,18473,0.034959
50,jardines,374,50,18700,0.034681
49,novedades,374,51,19074,0.034681
51,historia,370,52,19240,0.03431
52,facebook,365,53,19345,0.033846
53,centro,364,54,19656,0.033754
54,calendario,363,55,19965,0.033661
55,prado,362,56,20272,0.033568
56,planes,360,57,20520,0.033383
57,mejor,356,58,20648,0.033012
58,ferias,355,59,20945,0.032919
59,tradición,354,60,21240,0.032826
60,espectáculo,345,61,21045,0.031992
61,rutas,336,62,20832,0.031157
63,cómo,334,63,21042,0.030972
62,través,334,64,21376,0.030972
64,zona,333,65,21645,0.030879
65,noche,331,66,21846,0.030694
66,mejores,331,67,22177,0.030694
67,jpg,329,68,22372,0.030508
68,página,318,69,21942,0.029488
69,inicio,318,70,22260,0.029488
70,visita,317,71,22507,0.029395
71,españa,317,72,22824,0.029395
72,todas,315,73,22995,0.02921
74,comer,310,74,22940,0.028746
75,latina,310,75,23250,0.028746
73,barrios,310,76,23560,0.028746
76,deportes,309,77,23793,0.028654
77,instalaciones,307,78,23946,0.028468
78,cultural,306,79,24174,0.028375
79,elige,302,80,24160,0.028004
80,circo,299,81,24219,0.027726
81,moverse,295,82,24190,0.027355
82,toros,294,83,24402,0.027263
83,culturas,294,84,24696,0.027263
84,útil,293,85,24905,0.02717
85,nuevo,293,86,25198,0.02717
86,viaje,290,87,25230,0.026892
87,mapas,289,88,25432,0.026799
88,nov,288,89,25632,0.026706
89,bloggin,286,90,25740,0.026521
90,campo,285,91,25935,0.026428
91,llegar,281,92,25852,0.026057
92,destinos,279,93,25947,0.025872
93,accesibilidad,279,94,26226,0.025872
94,beber,276,95,26220,0.025593
95,parque,276,96,26496,0.025593
96,relevancia,276,97,26772,0.025593
97,asc,276,98,27048,0.025593
98,desc,276,99,27324,0.025593
99,noviembre,275,100,27500,0.025501
